300,86,2,2,30
680,156,4,2,40
360,157,4,2,35
700,149,3,1,30
267,70,2,1,45
465,130,4,2,28
750,198,4,2,33
380,98,2,1,42
400,118,3,2,25
139,56,2,1,30
664,166,3,2,32
355,77,2,1,42
400,131,3,2,30
680,190,3,2,32
450,175,3,2,30
626,139,3,2,31
250,87,2,1,31
700,192,4,2,30
711,158,4,2,30
155,35,1,1,22
220,54,1,1,22
630,188,3,2,28
290,115,3,1,33
700,190,3,2,32
300,86,2,1,30
330,109,3,2,27
450,140,3,2,32
545,143,3,2,32
350,85,2,2,40
290,83,2,2,30
800,190,4,2,28
350,82,2,2,33
150,51,1,1,30
175,46,1,0,40
258,65,2,2,25
150,40,1,1,26
900,146,3,2,22
570,136,3,2,33
637,148,4,2,30
185,43,1,0,43
280,71,1,1,45
200,41,1,1,40
295,118,3,2,33
810,176,4,2,45
730,173,4,2,32
750,173,4,2,30
